,CARD,DECK,BALLOT,FORM,S101D.Q1,S101D.Q2,S101D.Q3,S101D.Q4,S101D.Q5.1,S101D.Q5.2,S101D.Q6A.n,S101D.Q6B,S101D.Q7,S101D.Q8,S101D.Q9A,S101D.Q9B,S101D.Q9C,S101D.Q9D,S101D.Q10.n,S101D.Q11,S101D.Q12,S101D.Q13,S101D.Q14,S101D.Q15,S101D.Q16,S101D.Q17,S101D.Q18,S101D.Q19,S101D.Q20,S101D.Q21A,S101D.Q21B,S101D.Q22,S101D.Q23,S101D.Q24,S101D.Q25,S101D.Q26A,S101D.Q26B,S101D.Q27,S101D.Q28,S101D.Q29,S101D.Q30A,S101D.Q30B,S101D.Q30C,S101D.Q30D,S101D.Q31A,S101D.Q31B,S101D.Q31C,S101D.Q31D,S101D.Q31E,S101D.Q31F,S101D.Q31G,S101D.Q31H,S101D.Q31I,S101D.Q31J,S101D.Q31K,S101D.Q31L,S101D.Q31M,S101D.Q31N,S101D.Q31O,S101D.Q31P,S101D.Q31Q,S101D.Q31R,S101D.Q31S,S101D.Q31T,S101D.Q32,S101D.Q33,S101D.Q34,S101D.Q35A,S101D.Q35B,S101D.Q36A,S101D.Q36B,S101D.Q36C,CARD..1,DECK..1,BALLOT..1,FORM..1,S101D.Q36D,S101D.Q36E,S101D.Q36F,S101D.Q36G,S101D.Q36H.n,S101D.Q36I,S101D.Q36J,S101D.Q37A,S101D.Q37B,S101D.Q38,S101D.Q39,S101D.Q40A,S101D.Q40B,S101D.Q41.n,S101D.Q42,S101D.Q43A,S101D.Q43B,S101D.Q43C,S101D.Q43D,S101D.Q43E,S101D.Q43F,S101D.Q43G,S101D.Q43H,S101D.Q43I,S101D.Q43J,S101D.Q44,S101D.Q45A.n,S101D.Q45B.n,S101D.Q46.n,S101D.Q47A,S101D.Q47B,S101D.Q47C,S101D.Q47D,S101D.Q47E,S101D.Q48A.n,S101D.Q48B.n,S101D.Q49,S101D.Q50A,S101D.Q50B,S101D.Q50C,S101D.Q50D,S101D.Q51A,S101D.Q51B,S101D.Q52.n,S101D.Q53A,S101D.Q53B,S101D.Q54A,S101D.Q54B,S101D.Q54C,S101D.Q54D,S101D.Q54E,S101D.Q55A,S101D.Q55B,S101D.Q56,S101D.Q57,S101D.Q58.1,S101D.Q58.2,S101D.Q58.3,S101D.Q58.4,S101D.Q58.5,S101D.Q58.6,S101D.Q58.7,S101D.Q58.8,S101D.Q58.9,S101D.Q58.10,S101D.Q58.11,S101D.Q58.12,S101D.Q58.13,S101D.Q59,S101D.Q60A,S101D.Q60B,S101D.Q61A.1,S101D.Q61A.2,S101D.Q61B,S101D.Q62.n,S101D.V63
154,1.0,101.0,155.0,3.0,3.0,5.0,1.0,2.0,9.0,4.0,,5.0,4.0,4.0,1.0,2.0,2.0,3.0,,2.0,3.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,9.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,3.0,3.0,1.0,1.0,1.0,2.0,101.0,155.0,3.0,3.0,1.0,1.0,3.0,,1.0,3.0,1.0,4.0,1.0,1.0,3.0,1.0,,5.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,3.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,2.0,1.0,2.0,1.0,2.0,1.0,2.0,,1.0,2.0,0.0,5.0,85.0,10.0,0.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,5.0,5.0,,3.0
155,1.0,101.0,156.0,3.0,3.0,5.0,1.0,2.0,12.0,3.0,,8.0,4.0,9.0,1.0,2.0,2.0,2.0,,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,8.0,1.0,3.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,5.0,1.0,2.0,1.0,1.0,2.0,4.0,4.0,2.0,4.0,2.0,1.0,4.0,4.0,1.0,4.0,2.0,2.0,1.0,4.0,4.0,4.0,1.0,2.0,1.0,4.0,1.0,4.0,3.0,3.0,1.0,1.0,3.0,2.0,101.0,156.0,3.0,3.0,1.0,1.0,1.0,,1.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,,2.0,1.0,2.0,4.0,2.0,2.0,4.0,1.0,4.0,4.0,1.0,3.0,,,,2.0,1.0,2.0,2.0,1.0,,,1.0,2.0,3.0,2.0,2.0,2.0,2.0,,2.0,2.0,0.0,15.0,85.0,0.0,0.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,3.0,4.0,0.0,2.0,,2.0
156,1.0,101.0,157.0,3.0,3.0,5.0,1.0,4.0,5.0,4.0,,5.0,4.0,9.0,1.0,2.0,2.0,3.0,,3.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,8.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,3.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,2.0,101.0,157.0,3.0,1.0,1.0,1.0,1.0,,1.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,,5.0,3.0,2.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,,,,5.0,1.0,2.0,1.0,1.0,,,3.0,1.0,2.0,1.0,2.0,1.0,2.0,,2.0,2.0,5.0,0.0,95.0,0.0,0.0,2.0,1.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,0.0,2.0,,2.0
157,1.0,101.0,158.0,3.0,2.0,5.0,1.0,2.0,8.0,3.0,,2.0,4.0,4.0,1.0,2.0,2.0,1.0,,1.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,4.0,1.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,1.0,4.0,4.0,4.0,4.0,1.0,1.0,3.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,101.0,158.0,3.0,2.0,1.0,1.0,1.0,,1.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,,3.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,1.0,,,,1.0,1.0,4.0,1.0,1.0,,,4.0,2.0,2.0,1.0,2.0,1.0,0.0,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,6.0,3.0,4.0,3.0,1.0,,1.0
158,1.0,101.0,159.0,3.0,1.0,6.0,3.0,4.0,10.0,0.0,,4.0,4.0,4.0,1.0,1.0,2.0,3.0,,3.0,4.0,1.0,2.0,0.0,2.0,3.0,0.0,1.0,8.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,3.0,3.0,1.0,1.0,1.0,2.0,101.0,159.0,3.0,1.0,1.0,1.0,1.0,,1.0,3.0,0.0,0.0,1.0,4.0,0.0,0.0,,1.0,2.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,,,,1.0,1.0,5.0,5.0,5.0,,,0.0,3.0,3.0,0.0,2.0,1.0,1.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,6.0,6.0,3.0,0.0,4.0,,2.0
159,1.0,101.0,160.0,3.0,2.0,3.0,2.0,2.0,10.0,3.0,,20.0,4.0,4.0,1.0,1.0,2.0,3.0,,2.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,4.0,8.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,0.0,2.0,0.0,2.0,1.0,4.0,1.0,2.0,4.0,3.0,1.0,4.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0,2.0,3.0,4.0,3.0,0.0,3.0,1.0,3.0,2.0,101.0,160.0,3.0,3.0,1.0,1.0,1.0,,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,,2.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,1.0,,,,5.0,1.0,2.0,1.0,1.0,,,2.0,1.0,1.0,2.0,2.0,1.0,1.0,,2.0,2.0,0.0,0.0,95.0,5.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,3.0,1.0,,2.0
160,1.0,101.0,161.0,3.0,3.0,5.0,3.0,2.0,7.0,4.0,,999.0,4.0,10.0,1.0,1.0,2.0,1.0,,3.0,4.0,1.0,2.0,1.0,2.0,4.0,1.0,1.0,8.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,4.0,2.0,3.0,4.0,2.0,3.0,3.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,2.0,101.0,161.0,3.0,1.0,1.0,1.0,1.0,,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,1.0,,,,2.0,1.0,5.0,5.0,1.0,,,3.0,1.0,3.0,1.0,3.0,1.0,1.0,,1.0,2.0,0.0,25.0,75.0,0.0,0.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,4.0,5.0,,1.0
161,1.0,101.0,162.0,3.0,3.0,5.0,2.0,2.0,12.0,3.0,,14.0,4.0,9.0,1.0,2.0,2.0,2.0,,1.0,2.0,2.0,1.0,1.0,2.0,0.0,3.0,2.0,8.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,1.0,1.0,4.0,4.0,2.0,1.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,1.0,2.0,2.0,4.0,4.0,1.0,4.0,3.0,3.0,1.0,1.0,1.0,2.0,101.0,162.0,3.0,1.0,1.0,1.0,1.0,,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,,5.0,2.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,1.0,,,,1.0,5.0,1.0,1.0,2.0,,,4.0,2.0,3.0,2.0,3.0,1.0,1.0,,1.0,2.0,5.0,10.0,70.0,0.0,15.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,2.0,4.0,3.0,4.0,,1.0
162,1.0,101.0,163.0,3.0,2.0,2.0,1.0,2.0,9.0,3.0,,26.0,4.0,0.0,1.0,2.0,2.0,3.0,,1.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,0.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,3.0,2.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,101.0,163.0,3.0,1.0,1.0,1.0,2.0,,1.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,,1.0,2.0,3.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,,,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,2.0,2.0,1.0,1.0,,1.0,2.0,0.0,25.0,75.0,0.0,0.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,6.0,3.0,4.0,3.0,1.0,,2.0
163,1.0,101.0,164.0,3.0,2.0,4.0,1.0,2.0,8.0,3.0,,22.0,4.0,6.0,1.0,1.0,2.0,2.0,,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,8.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,101.0,164.0,3.0,1.0,1.0,1.0,1.0,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,,,,1.0,1.0,3.0,1.0,2.0,,,1.0,1.0,3.0,1.0,2.0,1.0,1.0,,1.0,2.0,0.0,50.0,25.0,15.0,10.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,4.0,3.0,1.0,,2.0
164,1.0,101.0,165.0,3.0,2.0,4.0,2.0,3.0,8.0,3.0,,25.0,4.0,9.0,1.0,3.0,2.0,2.0,,1.0,3.0,2.0,2.0,1.0,2.0,3.0,1.0,3.0,8.0,1.0,3.0,2.0,5.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,1.0,1.0,4.0,0.0,4.0,1.0,4.0,3.0,4.0,4.0,4.0,4.0,1.0,0.0,3.0,2.0,1.0,1.0,1.0,3.0,0.0,0.0,4.0,3.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,101.0,165.0,3.0,2.0,1.0,1.0,2.0,,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,,2.0,1.0,2.0,3.0,4.0,4.0,4.0,1.0,4.0,4.0,2.0,0.0,,,,1.0,1.0,2.0,2.0,2.0,,,3.0,2.0,3.0,2.0,3.0,2.0,3.0,,1.0,0.0,0.0,0.0,50.0,0.0,50.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,6.0,1.0,5.0,0.0,4.0,,2.0
165,1.0,101.0,166.0,3.0,3.0,5.0,1.0,2.0,8.0,4.0,,1.0,4.0,4.0,1.0,2.0,2.0,2.0,,1.0,3.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,8.0,1.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,1.0,4.0,2.0,2.0,3.0,2.0,3.0,0.0,1.0,0.0,2.0,101.0,166.0,3.0,0.0,1.0,1.0,1.0,,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,2.0,1.0,3.0,3.0,3.0,,,3.0,1.0,2.0,1.0,3.0,1.0,2.0,,1.0,2.0,10.0,20.0,70.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,6.0,2.0,4.0,0.0,1.0,,1.0
166,1.0,101.0,167.0,3.0,3.0,5.0,1.0,2.0,8.0,4.0,,5.0,4.0,4.0,1.0,2.0,2.0,3.0,,3.0,3.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,5.0,1.0,2.0,1.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0,1.0,1.0,3.0,2.0,101.0,167.0,3.0,3.0,1.0,1.0,3.0,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,4.0,4.0,2.0,4.0,3.0,4.0,4.0,4.0,1.0,,,,1.0,1.0,5.0,1.0,1.0,,,4.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,2.0,75.0,0.0,25.0,0.0,0.0,0.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,,2.0
167,1.0,101.0,168.0,3.0,2.0,6.0,3.0,3.0,3.0,3.0,,21.0,4.0,4.0,1.0,2.0,2.0,2.0,,3.0,4.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,8.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,1.0,1.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,101.0,168.0,3.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,,2.0,1.0,1.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,1.0,,,,5.0,1.0,5.0,1.0,1.0,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,2.0,2.0,5.0,75.0,20.0,0.0,0.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,5.0,5.0,3.0,4.0,1.0,,2.0
168,1.0,101.0,169.0,3.0,3.0,5.0,1.0,2.0,12.0,3.0,,4.0,4.0,4.0,1.0,2.0,2.0,1.0,,1.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,8.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,1.0,4.0,3.0,3.0,1.0,1.0,1.0,2.0,101.0,169.0,3.0,1.0,1.0,1.0,1.0,,1.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,,4.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,,,,5.0,1.0,5.0,5.0,1.0,,,2.0,1.0,3.0,1.0,2.0,1.0,1.0,,1.0,2.0,10.0,90.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,6.0,1.0,4.0,3.0,4.0,,3.0
169,1.0,101.0,170.0,3.0,3.0,5.0,3.0,2.0,8.0,4.0,,999.0,4.0,4.0,1.0,2.0,2.0,3.0,,0.0,3.0,1.0,1.0,1.0,2.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,2.0,101.0,170.0,3.0,1.0,1.0,1.0,2.0,,1.0,2.0,0.0,0.0,1.0,1.0,3.0,3.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,,,5.0,5.0,5.0,1.0,1.0,,,4.0,3.0,2.0,3.0,2.0,1.0,3.0,,1.0,2.0,0.0,0.0,95.0,5.0,0.0,2.0,0.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,3.0,2.0,2.0,,1.0
170,1.0,101.0,171.0,3.0,2.0,5.0,1.0,3.0,9.0,3.0,,15.0,4.0,4.0,1.0,1.0,2.0,2.0,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,8.0,2.0,2.0,2.0,8.0,1.0,2.0,1.0,2.0,1.0,2.0,0.0,2.0,2.0,1.0,2.0,4.0,1.0,1.0,2.0,1.0,4.0,4.0,4.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,4.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,2.0,101.0,171.0,3.0,3.0,1.0,2.0,2.0,,1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,,,,5.0,1.0,4.0,4.0,3.0,,,2.0,2.0,3.0,2.0,1.0,1.0,1.0,,1.0,0.0,3.0,30.0,50.0,5.0,12.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,3.0,4.0,2.0,4.0,,1.0
171,1.0,101.0,172.0,3.0,1.0,4.0,3.0,2.0,1.0,3.0,,999.0,4.0,1.0,1.0,1.0,2.0,2.0,,2.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,3.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,5.0,1.0,2.0,2.0,1.0,2.0,3.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,4.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,1.0,3.0,2.0,101.0,172.0,3.0,3.0,1.0,1.0,2.0,,1.0,3.0,1.0,1.0,3.0,4.0,3.0,3.0,,3.0,2.0,2.0,2.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,1.0,,,,3.0,1.0,4.0,2.0,5.0,,,3.0,1.0,2.0,1.0,2.0,1.0,2.0,,2.0,2.0,1.0,5.0,92.0,2.0,0.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,6.0,6.0,3.0,4.0,1.0,,1.0
172,1.0,101.0,173.0,3.0,3.0,5.0,1.0,2.0,9.0,4.0,,14.0,4.0,9.0,1.0,1.0,2.0,2.0,,1.0,3.0,2.0,2.0,1.0,2.0,3.0,1.0,2.0,8.0,2.0,3.0,2.0,3.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,4.0,1.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,2.0,1.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,3.0,2.0,1.0,1.0,3.0,2.0,101.0,173.0,3.0,3.0,1.0,1.0,1.0,,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,,2.0,2.0,1.0,2.0,1.0,3.0,3.0,2.0,4.0,4.0,4.0,1.0,,,,1.0,2.0,3.0,2.0,1.0,,,3.0,2.0,3.0,1.0,3.0,1.0,3.0,,2.0,1.0,2.0,7.0,90.0,0.0,1.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,4.0,1.0,2.0,4.0,1.0,,3.0
173,1.0,101.0,174.0,3.0,3.0,5.0,1.0,2.0,7.0,5.0,,3.0,4.0,4.0,1.0,2.0,2.0,2.0,,1.0,3.0,1.0,1.0,1.0,3.0,4.0,1.0,3.0,8.0,1.0,1.0,2.0,8.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,3.0,2.0,101.0,174.0,3.0,3.0,1.0,1.0,3.0,,1.0,2.0,1.0,3.0,1.0,2.0,3.0,3.0,,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,5.0,1.0,4.0,5.0,1.0,,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,1.0,1.0,10.0,0.0,75.0,0.0,15.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,2.0,3.0,4.0,,1.0
174,1.0,101.0,175.0,3.0,2.0,3.0,1.0,2.0,10.0,3.0,,21.0,4.0,11.0,1.0,1.0,2.0,3.0,,1.0,3.0,2.0,1.0,1.0,2.0,3.0,3.0,1.0,8.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,101.0,175.0,3.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,1.0,,,,2.0,2.0,2.0,1.0,2.0,,,2.0,1.0,3.0,1.0,2.0,1.0,1.0,,1.0,2.0,0.0,0.0,97.0,0.0,0.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,5.0,3.0,4.0,3.0,1.0,,1.0
