,CARD,DECK,BALLOT,S235.Q1,S235.Q2,S235.Q3,S235.Q4,S235.Q5A,S235.Q5B,S235.Q6,S235.Q7,S235.Q8,S235.Q9.x,S235.Q11,S235.Q12,S235.Q13,S235.Q14A,S235.Q14B.n,S235.Q15,S235.Q16,S235.Q17,S235.Q18,S235.Q19,S235.Q20,S235.Q21,S235.Q22,S235.Q23,S235.Q24,S235.Q25,S235.Q26,S235.Q27,S235.Q28,S235.Q29A,S235.Q29B.n,S235.Q30A,S235.Q30B.n,S235.Q31,S235.Q32A,S235.Q32B.n,S235.Q33,S235.Q34A,S235.Q34B,S235.Q34C,S235.Q34D,S235.Q34E,S235.Q35,S235.Q36,S235.Q37A,S235.Q37B,S235.Q37C,S235.Q37D,S235.Q37E,S235.Q37F,S235.Q37G,S235.Q37H,S235.Q37I,S235.Q38,S235.Q39,S235.Q40,S235.Q41,S235.Q42,S235.Q43,S235.Q44,S235.Q45,S235.Q46,S235.Q47A,S235.Q47B.1,S235.Q47B.2,S235.Q47B.3,S235.Q47B.4,S235.Q47B.5,CARD..1,DECK..1,BALLOT..1,S235.Q47B.6,S235.Q47B.7,S235.Q47B.8,S235.Q48A,S235.Q48B,S235.Q48C,S235.Q49A,S235.Q49B,S235.Q49C,S235.Q50A,S235.Q50B,S235.Q51,S235.Q52,S235.Q53,S235.Q54A,S235.Q54B,S235.Q54C,S235.Q55,S235.Q56,S235.Q57A,S235.Q57B,S235.Q57C,S235.Q57D,S235.Q57E,S235.Q57F,S235.Q57G,S235.Q58,S235.Q59,S235.Q60A,S235.Q60B,S235.Q60C,S235.Q61,S235.Q62,S235.Q63.n,S235.Q64.n,S235.Q65A,S235.Q65B.n,S235.Q66A,S235.Q66B,S235.Q66C,S235.Q66D,S235.Q67,S235.Q68,S235.Q69,S235.Q70A,S235.Q70B,S235.Q71.n,S235.Q72,S235.Q73.n,S235.Q74A,S235.Q74B,S235.Q74C,S235.Q74D,S235.Q74E,S235.Q75,S235.Q76,S235.Q77,S235.Q78,S235.Q79,S235.Q80,S235.Q81,S235.Q82,S235.Q83,S235.Q84,S235.Q85,S235.Q86,S235.Q87,S235.Q88,S235.Q89,S235.Q90,S235.Q91A.1,S235.Q91A.2,CARD..2,DECK..2,BALLOT..2,S235.Q91A.3,S235.Q91A.4,S235.Q91A.5,S235.Q91A.6,S235.Q91A.7,S235.Q91A.8,S235.Q91A.9,S235.Q91B.1,S235.Q91B.2,S235.Q91B.3,S235.Q91B.4,S235.Q91B.5,S235.Q91B.6,S235.Q91B.7,S235.Q91B.8,S235.Q91B.9,S235.Q91C.1,S235.Q91C.2,S235.Q91C.3,S235.Q91C.4,S235.Q91C.5,S235.Q91C.6,S235.Q91C.7,S235.Q91C.8,S235.Q91C.9,S235.V92
1031,1.0,235.0,1032.0,3.0,3.0,2.0,10.0,9.0,9.0,1.0,3.0,7.0,5.0,2.0,4.0,3.0,3.0,,1.0,1.0,2.0,1.0,2.0,4.0,1.0,7.0,3.0,3.0,4.0,4.0,0.0,1.0,4.0,,1.0,,11.0,1.0,,11.0,1.0,1.0,2.0,1.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,235.0,1032.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0,2.0,3.0,6.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,5.0,12.0,3.0,3.0,3.0,,,3.0,,2.0,0.0,3.0,0.0,2.0,1.0,3.0,1.0,1.0,,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,235.0,1032.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2714.0
1032,1.0,235.0,1033.0,6.0,4.0,2.0,10.0,9.0,9.0,2.0,4.0,9.0,5.0,5.0,1.0,3.0,3.0,,2.0,3.0,2.0,2.0,3.0,1.0,3.0,4.0,4.0,2.0,2.0,4.0,0.0,1.0,4.0,,2.0,,6.0,4.0,,2.0,1.0,2.0,2.0,2.0,1.0,2.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,4.0,4.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,235.0,1033.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0,4.0,1.0,5.0,2.0,3.0,2.0,3.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,12.0,0.0,2.0,2.0,,,2.0,,2.0,3.0,3.0,5.0,2.0,3.0,4.0,3.0,4.0,,2.0,,2.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,5.0,1.0,1.0,3.0,2.0,1.0,2.0,3.0,1.0,3.0,2.0,1.0,3.0,235.0,1033.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,634.0
1033,1.0,235.0,1034.0,6.0,4.0,3.0,10.0,9.0,9.0,1.0,3.0,10.0,2.0,3.0,5.0,3.0,3.0,,2.0,2.0,3.0,1.0,1.0,3.0,2.0,5.0,3.0,3.0,2.0,4.0,1.0,1.0,4.0,,1.0,,9.0,2.0,,8.0,1.0,2.0,2.0,1.0,1.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,4.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,235.0,1034.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,8.0,5.0,5.0,1.0,4.0,4.0,2.0,2.0,4.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,5.0,3.0,5.0,3.0,0.0,6.0,1.0,,,3.0,,2.0,3.0,3.0,5.0,3.0,1.0,3.0,2.0,3.0,,1.0,,0.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,235.0,1034.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1505.0
1034,1.0,235.0,1035.0,5.0,4.0,2.0,10.0,9.0,9.0,1.0,4.0,8.0,1.0,6.0,5.0,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0,5.0,4.0,4.0,2.0,1.0,1.0,4.0,,3.0,,6.0,2.0,,8.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,235.0,1035.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,6.0,5.0,3.0,3.0,4.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,2.0,4.0,11.0,11.0,6.0,3.0,,,1.0,,2.0,2.0,1.0,3.0,2.0,3.0,5.0,1.0,3.0,,4.0,,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,5.0,4.0,1.0,2.0,3.0,235.0,1035.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2735.0
1035,1.0,235.0,1036.0,6.0,4.0,2.0,10.0,9.0,9.0,1.0,2.0,5.0,1.0,4.0,5.0,3.0,3.0,,1.0,1.0,2.0,2.0,1.0,4.0,3.0,10.0,2.0,2.0,2.0,5.0,1.0,1.0,4.0,,1.0,,9.0,3.0,,7.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,235.0,1036.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,5.0,2.0,5.0,5.0,1.0,6.0,6.0,4.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,2.0,5.0,12.0,0.0,6.0,0.0,,,3.0,,2.0,0.0,0.0,5.0,2.0,1.0,2.0,3.0,4.0,,2.0,,2.0,2.0,2.0,3.0,0.0,4.0,3.0,1.0,1.0,1.0,4.0,1.0,2.0,3.0,4.0,4.0,1.0,4.0,1.0,1.0,1.0,2.0,2.0,3.0,235.0,1036.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,857.0
1036,1.0,235.0,1037.0,3.0,3.0,2.0,10.0,9.0,9.0,1.0,2.0,2.0,4.0,3.0,5.0,1.0,1.0,,1.0,1.0,2.0,2.0,3.0,4.0,3.0,3.0,3.0,1.0,5.0,3.0,0.0,1.0,4.0,,3.0,,11.0,1.0,,3.0,1.0,1.0,2.0,2.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,235.0,1037.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,9.0,10.0,2.0,5.0,3.0,4.0,3.0,2.0,2.0,2.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,5.0,2.0,5.0,10.0,11.0,6.0,0.0,,,1.0,,2.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,4.0,,2.0,,3.0,3.0,1.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,5.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,235.0,1037.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,613.0
1037,1.0,235.0,1038.0,5.0,4.0,2.0,10.0,9.0,9.0,2.0,3.0,11.0,0.0,3.0,5.0,2.0,0.0,,2.0,2.0,1.0,2.0,2.0,1.0,2.0,0.0,1.0,4.0,4.0,0.0,1.0,1.0,4.0,,2.0,,6.0,2.0,,5.0,1.0,2.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,235.0,1038.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,9.0,8.0,1.0,2.0,1.0,5.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,4.0,11.0,11.0,2.0,1.0,,,3.0,,1.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,3.0,,2.0,,2.0,2.0,2.0,1.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,1.0,3.0,3.0,1.0,2.0,3.0,2.0,4.0,4.0,2.0,2.0,3.0,235.0,1038.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2746.0
1038,1.0,235.0,1039.0,5.0,4.0,2.0,10.0,9.0,9.0,2.0,5.0,7.0,1.0,4.0,1.0,2.0,3.0,,3.0,3.0,2.0,3.0,3.0,4.0,3.0,0.0,5.0,3.0,5.0,0.0,1.0,1.0,2.0,,4.0,,6.0,3.0,,4.0,2.0,2.0,1.0,2.0,2.0,5.0,5.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,235.0,1039.0,2.0,2.0,1.0,1.0,2.0,0.0,3.0,3.0,0.0,2.0,2.0,4.0,4.0,3.0,5.0,5.0,1.0,0.0,4.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,5.0,12.0,0.0,6.0,2.0,,,0.0,,0.0,3.0,3.0,3.0,3.0,3.0,5.0,2.0,4.0,,2.0,,3.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,4.0,4.0,5.0,0.0,1.0,1.0,3.0,1.0,2.0,3.0,2.0,4.0,4.0,2.0,2.0,3.0,235.0,1039.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,922.0
1039,1.0,235.0,1040.0,6.0,4.0,2.0,10.0,9.0,9.0,2.0,4.0,5.0,5.0,4.0,2.0,3.0,2.0,,2.0,1.0,2.0,2.0,1.0,3.0,2.0,7.0,3.0,2.0,1.0,6.0,1.0,1.0,4.0,,5.0,,11.0,4.0,,8.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,235.0,1040.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,11.0,1.0,5.0,3.0,3.0,4.0,6.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,5.0,12.0,0.0,1.0,2.0,,,0.0,,2.0,3.0,0.0,1.0,3.0,1.0,3.0,2.0,3.0,,1.0,,2.0,1.0,3.0,3.0,3.0,1.0,2.0,4.0,3.0,1.0,4.0,3.0,1.0,1.0,4.0,4.0,2.0,4.0,3.0,1.0,1.0,2.0,2.0,3.0,235.0,1040.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2126.0
1040,1.0,235.0,1041.0,7.0,4.0,2.0,10.0,9.0,9.0,3.0,4.0,11.0,1.0,4.0,5.0,3.0,1.0,,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,4.0,,3.0,,8.0,1.0,,3.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,235.0,1041.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,3.0,0.0,9.0,9.0,3.0,4.0,1.0,4.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,11.0,11.0,5.0,2.0,,,0.0,,1.0,2.0,1.0,2.0,2.0,3.0,4.0,1.0,3.0,,2.0,,3.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,3.0,235.0,1041.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2615.0
1041,1.0,235.0,1042.0,6.0,5.0,2.0,10.0,9.0,9.0,3.0,5.0,11.0,1.0,3.0,5.0,1.0,2.0,,2.0,2.0,3.0,2.0,2.0,3.0,2.0,4.0,3.0,3.0,3.0,4.0,1.0,1.0,4.0,,2.0,,9.0,2.0,,9.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,235.0,1042.0,2.0,2.0,2.0,1.0,0.0,0.0,2.0,3.0,2.0,2.0,11.0,1.0,2.0,1.0,0.0,6.0,5.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,5.0,12.0,0.0,6.0,4.0,,,3.0,,2.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,,1.0,,3.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,3.0,3.0,1.0,2.0,3.0,2.0,2.0,3.0,235.0,1042.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2143.0
1042,1.0,235.0,1043.0,6.0,4.0,3.0,10.0,9.0,9.0,3.0,4.0,6.0,1.0,3.0,2.0,1.0,1.0,,1.0,2.0,2.0,1.0,2.0,3.0,2.0,4.0,1.0,2.0,2.0,2.0,1.0,1.0,4.0,,1.0,,11.0,2.0,,5.0,1.0,1.0,1.0,1.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,2.0,2.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,235.0,1043.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,11.0,11.0,5.0,5.0,1.0,6.0,6.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,11.0,11.0,6.0,3.0,,,3.0,,2.0,2.0,2.0,5.0,2.0,1.0,2.0,2.0,1.0,,3.0,,2.0,3.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,3.0,4.0,4.0,2.0,1.0,1.0,3.0,3.0,1.0,2.0,3.0,235.0,1043.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2642.0
1043,1.0,235.0,1044.0,5.0,4.0,2.0,10.0,9.0,9.0,2.0,5.0,8.0,1.0,2.0,3.0,1.0,1.0,,2.0,2.0,3.0,2.0,2.0,1.0,3.0,10.0,5.0,4.0,4.0,9.0,1.0,1.0,3.0,,2.0,,8.0,3.0,,9.0,2.0,2.0,2.0,2.0,1.0,2.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,235.0,1044.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,5.0,5.0,1.0,4.0,5.0,2.0,2.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,12.0,6.0,4.0,2.0,,,2.0,,1.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,3.0,,1.0,,2.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,4.0,2.0,2.0,3.0,235.0,1044.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2033.0
1044,1.0,235.0,1045.0,5.0,3.0,3.0,10.0,9.0,9.0,3.0,5.0,11.0,4.0,1.0,5.0,2.0,1.0,,1.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,3.0,,1.0,,9.0,3.0,,1.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,235.0,1045.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,1.0,2.0,1.0,5.0,2.0,4.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,11.0,0.0,6.0,2.0,,,3.0,,2.0,3.0,3.0,5.0,4.0,3.0,6.0,1.0,3.0,,1.0,,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,3.0,1.0,2.0,2.0,3.0,3.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,235.0,1045.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1862.0
1045,1.0,235.0,1046.0,6.0,4.0,3.0,10.0,9.0,9.0,1.0,5.0,9.0,4.0,3.0,1.0,3.0,2.0,,1.0,1.0,2.0,1.0,2.0,4.0,2.0,7.0,2.0,3.0,3.0,2.0,1.0,1.0,4.0,,1.0,,8.0,1.0,,9.0,2.0,1.0,2.0,1.0,1.0,2.0,5.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,235.0,1046.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,11.0,11.0,2.0,2.0,1.0,6.0,6.0,5.0,0.0,3.0,2.0,1.0,1.0,3.0,2.0,1.0,3.0,2.0,3.0,5.0,12.0,0.0,6.0,2.0,,,3.0,,2.0,3.0,3.0,5.0,2.0,2.0,4.0,1.0,0.0,,1.0,,2.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,4.0,4.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,235.0,1046.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2375.0
1046,1.0,235.0,1047.0,8.0,3.0,3.0,10.0,9.0,9.0,2.0,4.0,7.0,4.0,4.0,4.0,2.0,1.0,,3.0,2.0,3.0,2.0,3.0,4.0,2.0,4.0,2.0,3.0,4.0,2.0,0.0,1.0,3.0,,2.0,,11.0,2.0,,2.0,1.0,1.0,2.0,1.0,1.0,5.0,5.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,235.0,1047.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,5.0,10.0,3.0,5.0,3.0,5.0,4.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,5.0,5.0,1.0,2.0,,,2.0,,2.0,3.0,3.0,5.0,4.0,1.0,6.0,2.0,4.0,,4.0,,3.0,3.0,2.0,3.0,3.0,3.0,1.0,4.0,3.0,3.0,5.0,2.0,1.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,3.0,235.0,1047.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,414.0
1047,1.0,235.0,1048.0,5.0,4.0,2.0,10.0,9.0,9.0,1.0,3.0,9.0,4.0,3.0,5.0,1.0,2.0,,2.0,1.0,3.0,1.0,2.0,1.0,1.0,4.0,3.0,3.0,2.0,2.0,1.0,1.0,4.0,,2.0,,6.0,2.0,,0.0,0.0,1.0,1.0,1.0,2.0,3.0,5.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,235.0,1048.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,0.0,5.0,2.0,1.0,2.0,2.0,3.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,5.0,12.0,0.0,6.0,2.0,,,3.0,,2.0,3.0,3.0,5.0,2.0,2.0,5.0,2.0,4.0,,1.0,,2.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,235.0,1048.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2744.0
1048,1.0,235.0,1049.0,6.0,4.0,2.0,10.0,9.0,9.0,1.0,5.0,8.0,1.0,4.0,5.0,1.0,1.0,,2.0,2.0,3.0,1.0,1.0,3.0,2.0,3.0,3.0,2.0,5.0,2.0,1.0,1.0,4.0,,2.0,,8.0,2.0,,3.0,1.0,1.0,2.0,1.0,1.0,5.0,5.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,235.0,1049.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,11.0,11.0,1.0,2.0,1.0,6.0,6.0,5.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,4.0,11.0,11.0,6.0,4.0,,,1.0,,2.0,3.0,3.0,5.0,4.0,1.0,1.0,2.0,4.0,,4.0,,2.0,2.0,3.0,2.0,3.0,3.0,1.0,3.0,4.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,235.0,1049.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2613.0
