CARD.,DECK.,BALLOT.,Q.1.,Q.2.,Q.3.,Q.5.,Q.6.,Q.7.,Q.8.,Q.9.,Q.10.,Q.11.,Q.12.,Q.13.,Q.14A.,Q.14C.,Q.14C..1,Q.14C..2,Q.14C..3,Q.14C..4,Q.14C..5,Q.14C..6,Q.14C..7,Q.14C..8,Q.15.,Q.16.,Q.17.,Q.18.,Q.19.,Q.20.,Q.21.,Q.22.,Q.23.,Q.24.,Q.25.,Q.25..1,Q.25..2,Q.25..3,Q.25..4,Q.25..5,Q.25..6,Q.25..7,Q.25..8,Q.25..9,Q.25..10,Q.25..11,Q.26A.,Q.26B.,Q.26C.,Q.27A.,Q.27A..1,Q.27A..2,Q.27A..3,Q.27A..4,Q.27A..5,Q.27A..6,Q.27A..7,Q.27A..8,Q.27A..9,Q.27A..10,Q.27A..11,Q.27A..12,Q.27B.,Q.28.,Q.29.,Q.30A.,CARD..1,DECK..1,BALLOT..1,Q.30B.,Q.31.,Q.31..1,Q.31..2,Q.31..3,Q.31..4,Q.31..5,Q.31..6,Q.31..7,Q.31..8,Q.31..9,Q.31..10,Q.31..11,Q.32.,Q.33.,Q.34.,Q.35.,Q.36.,Q.37.,Q.37..1,Q.37..2,Q.37..3,Q.37..4,Q.37..5,Q.37..6,Q.37..7,Q.37..8,Q.37..9,Q.37..10,Q.38.,Q.39A.,Q.40.,Q.41.,Q.42.,Q.43.,Q.44.,Q.45.,Q.46.,Q.47.,Q.48.,Q.49A.,Q.49B.,Q.51.,Q.52.,Q.53.,Q.54A.,Q.54B.,Q.54B..1,Q.54B..2,Q.54B..3,Q.54B..4,Q.54B..5,Q.54B..6,Q.54B..7,Q.54B..8,Q.54B..9,Q.54B..10,Q.54B..11,Q.54B..12,Q.55.,Q.56.,Q.57.,Q.58.,Q.59.,Q.60.,Q.61.,Q.62A.,CARD..2,DECK..2,BALLOT..2,Q.62B.,Q.62B..1,Q.62B..2,Q.62B..3,Q.62B..4,Q.62B..5,Q.62B..6,Q.62B..7,Q.62B..8,Q.62B..9,Q.62B..10,Q.62B..11,Q.62B..12,Q.63.,Q.64.,Q.65A.,Q.65B.,Q.66.,V.66A.,Q.67.,Q.68A.,Q.69.,Q.70.,Q.71.,Q.72.,Q.0.,Q.73.,Q.73..1,Q.73..2,Q.73..3,Q.73..4,Q.73..5,Q.73..6,Q.73..7,Q.73..8,Q.73..9,Q.73..10,Q.74.,Q.75A.,Q.77.,Q.78.,Q.79.,Q.80.,Q.80..1,Q.80..2,Q.80..3,Q.80..4,Q.80..5,Q.80..6,Q.80..7,Q.80..8,Q.80..9,Q.80..10,Q.80..11,Q.80..12,Q.80..13,Q.80..14,Q.80..15,Q.80..16,Q.80..17,Q.80..18,Q.80..19,Q.80..20,Q.81.,Q.82.,Q.83A.,CARD..3,DECK..3,BALLOT..3,Q.83B.,Q.83B..1,Q.83B..2,Q.83B..3,Q.83B..4,Q.83B..5,Q.83B..6,Q.83B..7,Q.83B..8,Q.83B..9,Q.83B..10,Q.83B..11,Q.83B..12,Q.84.,V.86.,V.87.,V.88.,V.89.,V.90.
1,144,670,4,2,1,5,4,0,3,1,1,4,3,11,3,2,2,1,2,2,2,2,2,2,1,2,2,4,1,2,2,1,2,3,2,2,1,2,2,2,2,2,2,2,2,2,4,3,1,2,1,2,2,2,2,2,2,2,2,2,2,1,3,2,2,4,2,144,670,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,0,99,99,2,2,2,2,2,2,2,2,2,2,1,0,0,2,0,0,0,0,9,9,9,9,9,99,9,1,5,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,5,2,4,5,2,1,2,3,144,670,2,2,2,2,1,2,2,2,2,2,2,2,2,5,5,1,5,5,1,1,1,1,1,2,2,0,1,2,2,2,2,2,2,2,2,2,2,1,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,2,1,4,144,670,2,2,2,2,1,1,2,2,2,2,2,2,2,1,5,2,3,27,1
1,144,671,8,9,4,1,4,8,6,1,6,1,3,11,3,2,2,1,2,2,2,2,2,2,1,1,2,2,1,1,1,1,1,3,2,2,2,2,2,2,2,2,2,1,2,2,7,6,1,2,2,2,1,2,2,2,2,2,2,2,2,3,8,1,1,4,2,144,671,2,2,2,2,1,2,2,2,2,2,2,2,2,1,3,1,11,2,2,1,2,2,2,2,2,2,2,2,2,4,2,1,3,3,2,2,2,3,2,4,2,10,2,3,6,4,2,2,2,2,2,2,2,2,2,2,2,2,1,4,9,9,9,9,9,9,9,3,144,671,2,2,2,2,2,2,2,2,2,2,2,2,1,5,6,1,6,6,1,2,1,5,2,1,4,0,2,2,2,2,2,1,2,2,2,2,2,1,3,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,5,2,1,4,144,671,2,2,2,2,1,2,2,2,1,2,2,2,2,0,4,2,4,21,1
1,144,672,1,8,1,5,4,8,4,1,4,5,10,8,3,1,2,2,2,2,2,2,2,2,1,1,3,1,2,2,3,1,1,3,2,2,2,2,2,2,2,1,2,2,2,2,6,3,3,2,2,2,2,2,1,2,2,2,2,1,2,1,3,1,2,0,2,144,672,1,2,2,1,2,2,2,2,2,2,2,2,2,3,3,2,1,2,2,2,2,2,2,1,2,2,2,2,2,3,4,2,3,2,2,3,9,9,9,9,9,99,9,1,5,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,3,2,5,5,2,4,2,3,144,672,2,2,2,2,2,2,2,2,1,2,2,2,2,5,5,1,5,2,3,1,2,5,1,2,4,0,2,2,2,1,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,5,2,2,4,144,672,2,2,2,2,2,2,2,2,2,2,2,1,2,1,5,2,22,35,1
1,144,673,1,0,4,4,4,8,3,1,1,5,10,11,3,1,2,2,2,2,2,2,2,2,2,1,2,1,3,2,3,1,2,3,2,2,1,2,2,2,2,2,2,2,2,2,4,6,1,2,1,2,2,2,2,2,2,2,2,2,2,7,6,1,1,9,2,144,673,3,2,2,2,1,2,2,2,2,2,2,2,2,0,0,1,1,4,2,2,2,1,2,2,2,2,2,2,2,5,6,1,3,3,3,3,9,9,9,9,9,99,9,1,3,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,3,6,1,3,144,673,2,2,1,2,2,2,2,2,2,2,2,2,2,6,6,1,6,6,1,1,1,1,1,1,5,0,2,2,2,2,2,1,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,5,2,1,4,144,673,2,2,2,2,1,1,2,2,2,2,2,2,2,2,5,2,23,70,1
1,144,674,2,10,4,2,4,8,4,1,6,4,10,11,3,2,1,2,2,2,2,2,2,2,1,1,3,2,2,2,3,1,1,3,2,2,2,2,2,2,2,2,2,1,2,2,10,3,4,2,2,2,1,2,2,2,2,2,2,2,2,4,0,2,3,8,2,144,674,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,7,3,2,2,2,2,2,1,2,2,2,2,2,3,4,2,3,4,4,3,9,9,9,9,9,99,9,2,4,1,2,2,1,2,2,2,2,2,2,2,2,2,2,4,9,9,9,9,9,9,9,3,144,674,2,2,2,2,2,2,2,2,2,2,2,2,1,5,2,1,2,2,1,1,4,6,1,1,5,0,2,2,2,2,2,1,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,5,2,1,4,144,674,2,2,1,2,1,2,2,2,2,2,2,2,2,4,5,2,25,31,1
1,144,675,4,5,1,5,4,8,5,1,1,3,10,0,3,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,3,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,7,2,0,2,1,2,2,2,2,2,2,2,2,2,2,3,5,2,2,4,2,144,675,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,6,2,1,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,2,2,2,2,4,2,10,3,1,3,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,4,2,2,2,2,1,2,3,144,675,2,2,2,2,2,2,2,2,2,2,2,2,1,5,5,1,5,5,1,2,3,1,1,1,6,0,2,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,1,4,144,675,2,2,2,2,1,2,2,2,2,2,2,2,2,4,2,3,55,205,1
1,144,676,2,7,1,5,5,3,6,1,1,5,3,5,3,2,2,2,2,2,2,1,2,2,1,0,0,0,0,0,0,0,0,3,2,2,2,2,2,2,2,1,2,2,2,2,6,3,2,2,2,2,1,2,2,2,2,2,2,2,2,4,5,3,2,8,2,144,676,1,1,2,2,2,2,2,2,2,2,2,2,2,0,3,1,8,7,2,2,2,2,1,1,2,2,2,2,2,2,0,1,0,2,4,2,3,9,9,9,9,99,9,1,3,3,2,2,2,2,2,2,2,2,2,2,2,1,2,4,9,9,9,9,9,9,9,3,144,676,2,2,2,2,2,2,2,2,2,2,2,2,1,7,7,1,7,12,4,2,3,5,1,1,6,0,2,2,2,2,2,1,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,5,0,0,4,144,676,2,2,2,2,2,2,2,2,2,2,2,2,1,1,4,4,51,54,1
1,144,677,4,9,4,2,5,8,5,1,2,5,3,0,3,2,2,2,2,2,1,2,2,2,3,2,1,3,1,2,3,2,1,3,2,2,2,2,2,2,2,2,2,1,2,2,6,3,1,2,2,2,1,2,2,2,2,2,2,1,2,4,0,1,1,6,2,144,677,1,2,2,2,1,2,2,2,2,2,2,2,2,1,3,2,9,4,2,2,2,2,2,1,2,2,2,2,2,3,0,0,3,0,2,2,2,2,2,4,2,16,2,1,4,2,2,2,1,2,2,2,2,2,2,2,2,2,2,4,9,9,2,5,4,6,9,3,144,677,1,2,2,2,2,2,2,2,2,2,2,2,2,7,7,1,7,7,1,2,3,7,1,3,5,0,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,5,2,2,4,144,677,2,2,2,2,2,2,2,2,2,2,2,2,1,4,3,4,51,40,1
1,144,678,6,9,2,4,5,3,5,1,4,4,3,11,3,2,2,2,1,2,2,2,2,2,2,2,1,4,3,2,4,1,1,3,2,2,2,2,2,2,1,2,2,2,2,2,6,4,2,2,2,2,2,2,2,1,2,2,2,2,2,4,4,2,1,0,2,144,678,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,2,6,4,2,2,2,2,2,1,2,2,2,2,2,2,1,1,3,4,2,3,9,9,9,9,9,99,9,3,6,4,2,2,2,2,2,2,2,2,2,2,2,2,1,0,9,9,9,9,9,9,9,3,144,678,2,2,2,2,2,2,2,2,2,2,2,2,1,7,7,1,7,0,4,4,3,6,1,2,6,0,2,2,2,2,2,1,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,5,2,1,4,144,678,2,2,2,2,2,2,1,2,2,2,2,2,2,4,5,4,51,53,1
1,144,679,8,11,5,1,5,8,8,3,5,1,3,11,3,2,2,2,2,2,2,1,2,2,3,2,1,3,1,2,4,2,1,8,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,2,2,2,2,1,2,2,2,2,2,2,2,10,8,3,3,1,2,144,679,2,1,2,2,2,2,2,2,2,2,2,2,2,6,5,2,6,11,2,1,2,2,2,2,2,2,2,2,2,3,1,1,3,3,3,2,1,1,2,1,2,3,3,1,4,3,2,2,2,2,2,2,2,2,2,2,2,1,2,4,9,9,9,9,9,9,9,3,144,679,2,2,2,2,2,2,2,2,2,2,2,2,1,7,7,2,8,0,4,3,3,5,1,3,9,0,2,2,2,2,2,1,2,2,2,2,2,1,2,3,3,3,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,1,4,144,679,2,2,2,2,2,2,1,1,2,2,2,2,2,0,2,4,51,36,1
1,144,680,1,10,1,5,5,8,5,1,6,5,3,11,3,2,2,2,2,1,2,2,2,2,1,1,2,1,2,2,1,1,1,3,2,2,2,2,2,2,2,1,2,2,2,2,6,4,3,2,2,2,2,1,2,2,2,2,2,2,2,1,4,1,1,9,2,144,680,3,1,2,2,2,2,2,2,2,2,2,2,2,1,2,3,99,99,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,4,3,2,2,2,2,3,3,3,3,3,6,4,2,2,2,2,2,2,2,2,2,2,2,2,1,4,9,9,5,9,9,6,9,3,144,680,2,2,2,2,2,2,2,2,2,2,2,2,1,5,0,2,2,2,2,1,1,6,3,1,4,0,2,2,2,2,2,1,2,2,2,2,2,1,1,1,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,5,2,1,4,144,680,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,1,51,45,1
1,144,681,5,11,2,5,5,8,6,5,5,5,3,3,3,2,2,2,2,2,1,2,2,2,1,1,2,2,1,2,3,2,1,9,2,2,2,2,2,2,2,2,2,2,1,2,7,2,1,2,2,2,1,2,2,2,2,2,2,2,2,7,5,1,1,9,2,144,681,3,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,5,2,2,2,2,2,2,1,2,2,2,2,2,5,6,2,3,4,3,3,9,9,9,9,9,99,9,1,5,1,2,2,2,2,2,1,2,2,2,2,2,2,2,4,9,9,9,9,9,9,9,3,144,681,2,2,2,2,2,2,2,2,2,2,2,2,1,3,3,1,3,3,1,1,1,4,2,9,9,0,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,5,2,1,4,144,681,2,2,2,2,2,2,1,2,2,2,2,2,2,4,5,1,51,46,1
1,144,682,4,8,5,2,5,0,6,3,4,3,11,5,3,2,2,2,2,2,2,1,2,2,1,1,3,1,1,2,1,3,1,1,2,2,2,2,2,2,2,2,2,1,2,2,0,0,3,2,2,2,2,2,2,2,2,2,2,2,1,10,0,3,3,8,2,144,682,0,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,11,99,2,1,2,2,2,2,2,2,2,2,2,4,4,3,0,0,0,0,9,9,9,9,9,99,9,4,0,0,2,2,2,2,2,2,2,2,2,2,2,2,1,0,9,9,9,9,9,9,9,3,144,682,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0,2,0,0,0,1,9,0,2,1,2,2,2,2,2,2,2,2,2,2,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,4,144,682,2,2,2,2,2,2,2,2,2,2,2,2,1,0,5,2,51,6,1
1,144,683,1,7,1,5,5,8,1,1,3,5,11,11,4,2,2,2,2,2,2,2,2,1,1,1,1,3,1,2,4,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,7,1,2,2,2,2,2,2,1,2,2,2,2,2,2,4,8,1,1,9,2,144,683,3,2,1,2,2,2,2,2,2,2,2,2,2,2,3,3,99,99,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,3,3,2,9,2,2,4,2,3,3,2,5,3,2,2,2,2,2,2,2,2,2,2,2,1,2,3,9,9,9,4,4,1,3,3,144,683,2,2,2,2,2,2,2,2,2,2,2,1,2,5,2,1,2,2,1,1,1,3,1,1,9,0,2,2,2,2,2,2,2,2,1,2,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,5,2,1,4,144,683,2,2,2,2,1,2,2,2,2,2,2,2,2,1,5,2,52,50,1
1,144,684,1,10,2,4,5,8,2,1,6,5,11,11,4,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,3,2,1,3,2,2,2,2,2,2,2,1,2,2,2,2,6,2,4,2,2,2,2,2,2,2,2,2,2,2,1,10,0,2,3,8,2,144,684,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,99,99,2,2,2,2,2,2,2,2,2,2,1,3,3,2,3,4,4,2,2,2,9,2,2,11,3,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,0,9,9,1,2,4,1,1,3,144,684,2,2,2,2,2,2,2,1,2,2,2,2,2,5,2,1,2,2,1,2,1,6,2,3,9,0,2,2,2,2,2,1,2,2,2,2,2,2,3,3,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,5,2,2,4,144,684,2,2,2,2,2,2,2,2,2,2,2,2,1,4,2,2,52,224,1
1,144,685,1,11,4,3,5,1,1,1,6,5,11,11,4,1,2,2,2,2,2,2,2,2,3,3,1,4,3,1,4,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,7,3,4,2,2,2,2,1,2,2,2,2,2,2,2,1,3,3,2,1,2,144,685,1,1,2,2,2,2,2,2,2,2,2,2,2,3,2,2,6,2,2,2,2,1,2,2,2,2,2,2,2,3,1,3,3,3,4,3,9,9,9,9,9,99,9,1,4,2,2,2,2,2,2,2,2,1,2,2,2,2,2,4,9,9,9,9,9,9,9,3,144,685,2,2,2,2,2,2,2,2,2,2,2,2,1,5,2,1,2,2,1,2,2,5,2,9,9,0,2,2,2,2,2,2,2,2,2,2,1,2,3,3,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,5,2,2,4,144,685,2,2,2,2,2,2,2,2,2,2,2,2,1,3,5,5,52,99,1
1,144,686,1,1,1,2,5,8,2,1,5,5,11,11,4,2,1,2,2,2,2,2,2,2,3,2,1,4,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,4,2,3,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,144,686,2,1,2,2,2,2,2,2,2,2,2,2,2,1,3,3,99,99,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,4,3,2,1,2,2,1,2,10,2,2,4,1,2,2,1,2,2,2,2,2,2,2,2,2,2,4,9,9,9,9,9,9,9,3,144,686,2,2,2,2,2,2,2,2,2,2,2,2,1,4,4,1,4,1,3,2,3,6,1,1,5,0,2,2,2,1,2,2,2,2,2,2,2,1,3,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,5,2,1,4,144,686,2,2,2,1,2,2,2,2,2,2,2,2,2,3,3,4,52,36,1
1,144,687,4,11,1,5,5,8,5,1,2,5,11,11,4,1,2,2,2,2,2,2,2,2,2,1,3,2,2,2,3,1,1,3,2,2,1,2,2,2,2,2,2,2,2,2,4,0,1,2,2,2,2,2,1,2,2,2,2,2,2,3,8,2,3,8,2,144,687,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,99,99,2,2,2,2,2,2,2,2,2,2,1,3,1,1,3,4,4,3,4,3,3,3,3,10,2,2,5,2,2,2,2,2,2,2,2,2,2,1,2,2,2,3,9,3,5,4,3,6,2,3,144,687,2,2,2,2,2,2,2,2,2,1,2,2,2,5,5,1,5,0,4,3,2,2,1,3,9,0,2,2,2,2,2,1,2,2,2,2,2,1,3,2,3,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,3,2,1,4,144,687,2,2,2,2,2,2,1,2,2,2,2,2,2,3,5,3,52,152,1
1,144,688,4,9,5,1,5,8,6,1,6,5,11,9,3,2,2,2,1,2,2,2,2,2,1,1,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,10,2,3,2,2,2,2,1,2,2,2,2,2,2,2,2,9,3,3,1,2,144,688,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,11,2,2,2,2,2,2,2,2,2,1,2,2,1,0,1,3,0,2,3,9,9,9,9,9,99,9,3,6,4,2,2,2,2,2,2,2,2,2,2,2,2,1,4,9,9,9,9,9,9,9,3,144,688,2,2,2,2,2,2,2,2,2,2,2,2,1,5,5,1,5,1,3,3,2,7,1,1,4,0,2,2,2,2,2,1,2,2,2,2,2,1,1,5,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,1,4,144,688,2,2,2,2,1,2,2,2,2,2,2,2,2,4,5,1,52,180,1
1,144,689,6,9,4,3,5,8,5,1,5,5,11,11,0,2,2,2,2,2,2,2,2,1,1,1,1,2,3,2,5,2,1,3,2,2,2,2,2,2,1,2,2,2,2,2,10,5,1,2,2,2,2,2,1,2,2,2,2,2,2,1,5,1,1,9,2,144,689,3,2,2,1,2,2,2,2,2,2,2,2,2,1,1,3,99,99,2,2,2,2,2,2,2,2,2,2,1,5,6,1,1,3,3,3,9,9,9,9,9,99,9,3,6,4,2,2,2,2,2,2,2,2,2,2,2,2,1,4,9,9,9,9,9,9,9,3,144,689,2,2,2,2,2,2,2,2,2,2,2,2,1,7,7,1,7,7,1,2,1,5,1,2,5,0,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,3,2,0,4,144,689,2,2,2,2,2,2,2,2,2,2,2,2,1,3,5,2,52,19,1
1,144,690,1,8,4,2,5,8,5,1,5,5,11,11,4,1,2,2,2,2,2,2,2,2,2,2,1,2,2,3,3,1,4,3,2,2,2,2,2,2,2,1,2,2,2,2,6,1,2,2,2,2,2,2,2,1,2,2,2,2,2,4,8,1,2,8,2,144,690,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,99,99,2,2,2,2,2,2,2,2,2,2,1,0,0,2,3,4,2,3,4,3,3,3,3,10,2,3,6,4,2,2,2,2,2,2,2,2,2,2,2,2,1,4,9,9,9,9,9,9,9,3,144,690,2,2,2,2,2,2,2,2,2,2,2,2,1,7,7,1,7,3,3,2,3,6,1,2,1,0,2,2,2,2,2,1,2,2,2,2,2,1,2,3,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,3,2,2,4,144,690,2,2,2,2,2,2,1,2,2,2,2,2,2,4,5,5,52,119,1
1,144,691,4,0,5,2,5,8,7,1,1,3,11,5,0,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1,2,2,2,3,2,2,1,2,2,2,2,2,2,2,2,2,4,2,1,2,2,2,1,2,2,2,2,2,2,2,2,3,8,1,1,9,2,144,691,3,2,2,2,1,2,2,2,2,2,2,2,2,2,3,1,6,2,2,2,2,1,2,2,2,2,2,2,2,3,1,1,3,4,2,3,9,9,9,9,9,99,9,1,3,2,2,2,1,2,2,2,2,2,2,2,2,2,2,4,9,9,9,9,9,9,9,3,144,691,2,2,2,2,2,2,2,2,2,2,2,2,1,6,7,1,7,7,3,2,3,4,1,2,4,0,2,2,2,1,2,2,2,2,2,2,2,1,1,2,1,3,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,3,2,1,4,144,691,2,2,2,2,2,2,1,2,2,2,2,2,2,2,5,4,52,11,1
1,144,692,1,9,1,5,5,8,6,1,4,5,11,5,4,1,2,2,2,2,2,2,2,2,2,2,1,4,3,2,4,3,2,2,2,2,2,2,2,2,1,2,2,2,2,2,6,2,1,2,2,2,2,2,2,2,2,2,2,2,1,10,0,1,3,8,2,144,692,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,3,99,99,2,2,2,2,2,2,2,2,2,2,1,4,1,1,1,3,3,3,9,9,9,9,9,99,9,1,4,1,2,2,1,2,2,2,2,2,2,2,2,2,2,4,9,9,9,9,9,9,9,3,144,692,2,2,2,2,2,2,2,2,2,2,2,2,1,7,7,1,7,7,1,3,2,4,4,9,9,0,2,2,2,2,2,2,2,2,2,2,1,2,3,3,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,5,2,1,4,144,692,2,2,2,2,2,2,1,2,2,2,2,2,2,4,5,4,52,39,1
1,144,693,4,5,1,5,5,8,7,3,1,5,11,11,3,2,2,2,1,2,2,2,2,2,3,2,1,4,2,2,2,2,1,3,2,2,2,2,2,2,1,2,2,2,2,2,6,4,3,2,2,2,2,2,1,2,2,2,2,2,2,1,4,2,2,8,2,144,693,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,3,99,99,2,2,2,2,2,2,2,2,2,2,1,3,4,2,3,4,3,3,9,3,3,9,9,99,9,3,5,1,2,2,2,2,2,2,2,2,2,2,1,2,2,4,9,9,9,9,9,9,9,3,144,693,2,2,2,2,2,2,2,2,2,2,2,2,1,7,7,1,7,9,3,3,3,6,1,1,2,0,2,1,2,2,2,2,2,2,2,2,2,2,4,3,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,3,1,1,4,144,693,2,2,2,2,2,2,2,2,2,2,2,1,2,1,5,4,52,37,1
1,144,694,1,4,1,5,5,0,5,1,6,1,11,5,4,2,2,2,2,2,2,2,2,1,1,1,1,3,1,2,2,1,2,3,2,2,2,2,2,2,2,2,2,2,2,1,6,4,1,2,2,2,2,2,1,2,2,2,2,2,2,3,8,1,1,4,2,144,694,2,2,2,1,2,2,2,2,2,2,2,2,2,0,2,2,6,3,2,2,2,1,2,2,2,1,2,2,2,0,6,0,3,2,2,2,3,2,2,4,2,14,1,1,3,0,2,2,2,2,1,2,2,2,2,2,2,2,2,4,9,3,5,9,4,9,9,3,144,694,2,2,2,2,2,2,2,2,2,2,2,2,1,6,6,2,5,2,3,1,3,6,4,9,9,0,2,2,2,2,2,2,2,2,2,2,1,0,2,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,4,144,694,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,3,52,114,1
1,144,695,1,9,1,5,5,8,2,1,5,5,11,11,4,2,2,2,2,2,2,2,2,1,1,2,1,1,1,2,2,2,4,3,2,2,2,2,2,2,2,1,2,2,2,2,6,4,4,2,2,2,2,2,1,2,2,2,2,2,2,2,4,2,3,4,2,144,695,1,1,2,2,2,2,2,2,2,2,2,2,2,1,3,3,99,99,2,2,2,2,2,2,2,2,2,2,1,3,4,1,3,2,3,1,2,2,2,2,2,11,1,3,6,4,1,2,2,2,2,2,2,2,2,2,2,2,2,4,9,9,9,9,9,9,9,3,144,695,2,2,2,2,2,2,2,2,2,2,2,2,1,5,5,0,0,5,1,3,1,5,3,9,9,0,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,5,2,1,4,144,695,2,2,2,2,1,2,2,2,2,2,2,2,2,4,2,3,52,196,1
1,144,696,1,5,4,2,5,8,2,1,2,2,11,11,4,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,6,2,2,2,2,2,2,2,2,1,2,2,2,2,2,4,8,1,1,9,2,144,696,3,1,2,2,2,2,2,2,2,2,2,2,2,1,1,3,99,99,2,2,2,2,2,2,2,2,2,2,1,2,1,1,3,2,2,0,3,9,9,9,9,99,9,1,3,1,2,2,1,2,2,2,2,2,2,2,2,2,2,3,9,9,9,9,9,9,9,3,144,696,2,2,2,2,2,2,2,2,2,2,2,2,1,5,5,1,5,5,1,1,4,2,1,3,2,0,2,2,2,2,2,1,2,2,2,2,2,1,3,3,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,5,2,2,4,144,696,2,2,2,2,2,2,2,2,2,2,2,2,1,4,5,3,52,193,1
