CARD.,DECK.,BALLOT.,FORM.,Q.1.,Q.2.,Q.3.,Q.4.,Q.4..1,Q.5B.,Q.5C.,Q.6.,Q.7.,Q.8A.,Q.8B.,Q.8C.,Q.9.,Q.10.,Q.11.,Q.12A.,Q.12B.,Q.13.,Q.14.,Q.15A.,Q.16.,Q.17.,Q.18A.,Q.18B.,Q.19.,Q.20A.,Q.20B.,Q.21.,Q.22.,Q.23.,Q.24.,Q.25A.,Q.25B.,Q.26.,Q.27.,Q.28A.,Q.28B.,Q.28C.,Q.29.,Q.30.,Q.31.,Q.32A.,Q.32B.,Q.33.,Q.34.,Q.35A.,Q.35B.,Q.35C.,Q.35D.,Q.35E.,Q.35F.,Q.35G.,Q.36.,Q.37.,Q.38A.,Q.38B.,Q.39A.,Q.39B.,Q.39C.,Q.39D.,Q.39E.,Q.39F.,Q.39G.,Q.39H.,CARD..1,DECK..1,BALLOT..1,FORM..1,Q.40A.,Q.40B.,Q.40C.,Q.40D.,Q.40E.,Q.41.,Q.42.,Q.43A.,Q.43B.,Q.43C.,Q.43D.,Q.43E.,Q.43F.,Q.43G.,Q.43H.,Q.43I.,Q.43J.,Q.44A.,Q.44B.,Q.45.,Q.46.,Q.48A.,Q.48B.,Q.49A.,Q.49B.,Q.50A.,Q.50B.,Q.50C.,Q.50D.,Q.50E.,Q.51D.,Q.52.,Q.53.,Q.54.,Q.55.,Q.56.,Q.57A.,Q.57B.,Q.57C.,Q.58.,Q.59.,Q.60A.,Q.60B.,Q.61.,Q.62.,Q.63.,Q.63..1,Q.63..2,Q.63..3,Q.63..4,Q.63..5,Q.63..6,Q.63..7,Q.63..8,Q.63..9,Q.63..10,Q.63..11,Q.63..12,Q.63..13,Q.63..14,Q.64.,V.66.,V.67.,V.68.
1,100,237,7,2,4,9,12,4,105,15,1,1,1,1,1,4,2,2,1,1,1,2,6,3,2,2,2,8,1,3,1,4,2,3,2,2,3,4,4,4,4,4,3,4,3,3,2,4,1,1,0,0,0,1,0,1,5,1,1,2,2,2,1,2,2,2,2,2,100,237,7,2,2,2,2,2,2,2,1,2,2,2,2,4,2,4,4,4,1,1,1,2,2,4,2,2,3,3,3,3,3,3,3,1,5,4,2,1,1,2,2,3,2,4,3,3,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,4,2,1
1,100,238,7,4,4,2,9,4,52,21,1,3,5,1,5,1,2,2,1,2,1,3,1,1,2,2,2,0,2,2,1,3,2,2,1,1,1,2,1,1,1,4,1,2,3,3,1,4,1,1,3,3,1,1,3,2,1,3,1,2,2,2,1,2,2,2,2,2,100,238,7,3,2,3,1,2,2,1,1,2,2,2,3,4,2,4,4,2,1,1,1,1,1,3,3,2,1,1,1,1,1,2,2,2,6,4,2,1,2,1,1,2,1,2,3,3,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,4,3,59
1,100,239,7,2,4,4,9,4,90,20,1,4,7,3,4,1,1,2,2,2,1,2,3,3,1,2,2,8,1,2,2,9,2,2,2,2,3,2,2,2,2,3,1,4,3,2,3,4,1,1,3,3,3,1,3,1,1,1,1,1,3,2,2,2,2,2,2,2,100,239,7,2,3,3,1,2,2,3,1,2,2,4,4,4,2,4,4,4,2,1,1,2,1,3,1,3,5,1,2,2,1,4,3,1,5,4,2,1,2,2,1,3,2,1,3,3,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,4,3,50
1,100,240,7,1,3,3,1,5,120,99,1,4,1,1,1,4,2,2,2,1,1,3,6,2,1,2,2,0,1,0,2,3,2,2,1,1,0,4,1,2,2,4,3,4,2,2,2,4,1,1,1,3,1,1,3,1,5,1,1,2,2,2,2,2,2,1,2,2,100,240,7,2,1,2,3,2,2,3,2,3,3,3,4,4,4,4,4,4,2,1,1,1,2,4,3,2,5,1,1,1,5,2,2,1,5,2,2,2,1,2,3,0,1,3,4,4,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,4,2,30
1,100,241,7,0,4,9,1,5,120,99,1,3,5,2,2,1,3,2,1,1,1,2,5,1,1,2,0,0,0,0,0,4,2,2,2,0,1,2,2,2,2,2,1,2,3,2,0,0,1,0,1,1,0,1,3,1,5,1,1,2,2,2,2,2,2,3,2,2,100,241,7,2,1,2,3,2,2,3,2,3,3,3,0,4,4,4,4,4,0,1,1,1,2,4,1,2,5,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,4,2,58
1,100,242,7,2,4,3,9,4,150,99,1,4,0,3,0,1,2,2,1,2,1,4,6,2,1,1,2,0,1,3,4,3,2,3,2,1,1,4,4,4,4,3,3,4,3,3,2,3,1,1,1,2,1,1,1,2,2,3,3,2,2,2,2,2,2,2,2,2,100,242,7,3,3,3,2,2,3,3,2,2,2,2,2,4,2,4,4,4,1,1,1,2,1,1,1,1,1,1,1,1,5,2,3,1,9,2,2,2,0,2,3,3,3,1,4,4,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,4,1,8
1,100,243,7,1,4,11,9,4,150,99,1,3,4,1,3,1,1,3,1,1,1,2,1,1,1,2,2,0,1,3,1,3,2,2,1,0,3,1,1,4,2,2,1,2,2,3,3,4,1,0,0,0,0,0,0,2,2,1,1,2,2,2,2,2,2,2,1,2,100,243,7,2,3,1,1,3,1,2,1,1,3,1,4,4,3,3,3,3,1,1,1,1,1,2,1,2,1,1,1,2,1,5,1,1,4,2,2,1,0,2,3,2,3,2,1,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,4,1,41
1,100,244,7,3,4,3,9,4,85,15,1,3,1,2,2,1,2,1,1,1,1,2,6,1,1,2,1,0,0,1,2,3,2,3,1,0,0,4,4,4,4,3,1,0,0,3,0,4,1,1,0,0,0,1,0,1,5,3,3,2,2,2,2,2,3,2,2,2,100,244,7,0,0,1,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,4,2,2,1,1,1,1,1,4,3,1,10,4,2,3,1,1,1,2,1,2,2,3,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,0,4,2,16
1,100,245,7,3,4,3,9,4,100,0,1,4,7,3,3,2,2,2,1,1,2,1,6,1,1,2,2,0,0,0,2,3,2,2,1,1,2,2,2,2,2,4,3,1,3,3,2,4,1,1,1,0,0,1,0,1,1,1,1,2,2,2,2,2,2,1,0,2,100,245,7,2,3,2,2,2,3,1,1,2,4,4,2,4,1,4,4,4,2,1,1,2,1,3,3,3,2,2,1,1,1,5,1,1,8,4,0,1,0,0,1,2,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,4,3,29
1,100,246,7,0,4,10,9,4,999,98,1,2,4,3,1,2,2,1,2,3,1,2,1,3,3,0,1,8,2,2,1,4,3,2,2,2,3,4,4,4,4,2,1,1,3,2,2,2,1,1,3,3,3,1,3,1,1,3,3,2,2,2,2,2,3,2,1,2,100,246,7,2,2,1,1,2,1,1,1,1,1,1,2,2,1,3,3,2,1,1,3,1,1,4,2,2,3,1,3,1,1,3,3,1,4,4,2,3,1,1,2,2,2,2,3,3,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,4,4,3,45
