,CARD,DECK,BALLOT,FORM,S107O.Q1,S107O.Q2,S107O.Q3,S107O.Q4,S107O.Q5,S107O.Q6,S107O.Q7.1,S107O.Q7.2,S107O.Q7.3,S107O.Q8.1,S107O.Q8.2,S107O.Q9.1,S107O.Q9.2,S107O.Q10.1,S107O.Q10.2,S107O.Q11,S107O.Q12,S107O.Q13,S107O.Q14.n,S107O.Q15,S107O.Q16,S107O.Q17,S107O.Q18,S107O.Q19,S107O.Q20,S107O.Q21.1,S107O.Q21.2,S107O.Q22,S107O.Q23,S107O.Q24A,S107O.Q24B.n,S107O.Q25.n,S107O.Q26.n,S107O.Q27,S107O.Q28,S107O.Q29,S107O.Q30,S107O.Q31,S107O.Q32,S107O.Q33,S107O.Q34,S107O.Q35,S107O.Q36,S107O.Q37,S107O.Q38,S107O.Q39,S107O.Q40,S107O.Q41,S107O.Q42,S107O.Q43,S107O.Q44,S107O.Q45,S107O.Q46,S107O.Q47,S107O.Q48,S107O.Q49,S107O.Q50,S107O.Q51,S107O.Q52.n,S107O.Q53,S107O.Q54,S107O.Q55,S107O.Q56,S107O.Q57,S107O.Q58,S107O.Q59.n,S107O.Q60.n,S107O.Q61.n,S107O.Q62,S107O.Q63,S107O.Q64A,S107O.Q64B.n,S107O.Q65A,S107O.Q65B.n,S107O.Q66,S107O.Q67A,S107O.Q67B.n,S107O.Q69,S107O.Q70,CARD..1,DECK..1,BALLOT..1,FORM..1,S107O.Q71,S107O.Q72,S107O.Q73,S107O.Q74,S107O.Q75,S107O.Q76,S107O.Q77,S107O.Q78,S107O.Q79A,S107O.Q79B.n,S107O.Q80,S107O.Q81.n,S107O.Q82,S107O.Q83,S107O.Q84,S107O.Q85,S107O.Q86,S107O.Q87,S107O.Q88,S107O.Q89,S107O.Q90,S107O.Q91,S107O.Q92,S107O.Q93.n,S107O.Q94A,S107O.Q94B,S107O.Q94C,S107O.Q94D,S107O.Q94E,S107O.Q94F,S107O.Q94G,S107O.Q95,S107O.Q96,S107O.Q97.n,S107O.V98,S107O.V99,S107O.V100,S107O.V101,S107O.V102,S107O.V103,S107O.V104
98,1.0,107.0,99.0,2.0,3.0,8.0,5.0,2.0,3.0,5.0,0.0,0.0,5.0,1.0,1.0,1.0,5.0,2.0,8.0,6.0,2.0,2.0,,3.0,4.0,4.0,4.0,2.0,11.0,12.0,5.0,1.0,4.0,1.0,,,,2.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,,2.0,1.0,1.0,2.0,1.0,2.0,,,,2.0,2.0,1.0,,3.0,,3.0,2.0,,2.0,1.0,2.0,107.0,99.0,2.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,,2.0,,3.0,3.0,2.0,2.0,1.0,5.0,3.0,1.0,1.0,1.0,1.0,,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,4.0,,1.0,2.0,2.0,2.0,1.0,26.0,17.0
99,1.0,107.0,100.0,2.0,3.0,6.0,6.0,2.0,6.0,6.0,0.0,4.0,5.0,5.0,8.0,1.0,1.0,1.0,6.0,3.0,2.0,2.0,,3.0,4.0,4.0,5.0,1.0,2.0,14.0,0.0,1.0,4.0,1.0,,,,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,,2.0,1.0,1.0,2.0,1.0,2.0,,,,3.0,2.0,2.0,,3.0,,3.0,2.0,,2.0,1.0,2.0,107.0,100.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,1.0,1.0,,1.0,,4.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,,1.0,1.0,1.0,2.0,3.0,23.0,105.0
100,1.0,107.0,101.0,2.0,3.0,4.0,4.0,2.0,1.0,6.0,3.0,2.0,5.0,2.0,7.0,1.0,5.0,1.0,7.0,3.0,2.0,2.0,,4.0,1.0,2.0,6.0,2.0,0.0,13.0,0.0,1.0,1.0,1.0,,,,2.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,,3.0,1.0,1.0,1.0,1.0,2.0,,,,3.0,2.0,2.0,,3.0,,3.0,3.0,,3.0,1.0,2.0,107.0,101.0,2.0,1.0,2.0,1.0,3.0,3.0,2.0,2.0,1.0,4.0,,4.0,,7.0,3.0,1.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,4.0,,2.0,2.0,4.0,2.0,2.0,23.0,167.0
101,1.0,107.0,102.0,2.0,3.0,5.0,6.0,1.0,4.0,7.0,1.0,5.0,5.0,5.0,8.0,1.0,1.0,2.0,8.0,6.0,2.0,2.0,,3.0,4.0,5.0,6.0,2.0,4.0,13.0,9.0,1.0,4.0,1.0,,,,2.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,2.0,,1.0,1.0,1.0,2.0,1.0,2.0,,,,4.0,1.0,2.0,,3.0,,2.0,2.0,,1.0,1.0,2.0,107.0,102.0,2.0,1.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,,2.0,,3.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,,2.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,,2.0,4.0,2.0,3.0,4.0,14.0,27.0
102,1.0,107.0,103.0,2.0,3.0,5.0,6.0,2.0,4.0,7.0,0.0,5.0,5.0,5.0,8.0,1.0,6.0,2.0,8.0,6.0,2.0,2.0,,4.0,3.0,5.0,6.0,2.0,11.0,4.0,5.0,1.0,4.0,1.0,,,,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,5.0,2.0,,3.0,1.0,1.0,1.0,2.0,9.0,,,,9.0,1.0,2.0,,3.0,,2.0,2.0,,3.0,1.0,2.0,107.0,103.0,2.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,,2.0,,2.0,2.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,1.0,1.0,3.0,4.0,5.0,23.0,166.0
103,1.0,107.0,104.0,2.0,3.0,6.0,6.0,2.0,4.0,6.0,0.0,5.0,5.0,5.0,8.0,1.0,5.0,2.0,8.0,0.0,2.0,2.0,,4.0,3.0,2.0,5.0,2.0,10.0,13.0,5.0,1.0,3.0,1.0,,,,2.0,1.0,3.0,1.0,1.0,1.0,2.0,4.0,3.0,2.0,1.0,0.0,2.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,3.0,,3.0,1.0,1.0,2.0,2.0,9.0,,,,9.0,1.0,1.0,,3.0,,2.0,3.0,,3.0,1.0,2.0,107.0,104.0,2.0,1.0,3.0,3.0,2.0,3.0,0.0,0.0,1.0,2.0,,4.0,,7.0,1.0,0.0,4.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,,2.0,1.0,1.0,2.0,1.0,2.0,1.0,4.0,4.0,,2.0,2.0,4.0,3.0,7.0,23.0,165.0
104,1.0,107.0,105.0,2.0,3.0,6.0,6.0,2.0,4.0,7.0,5.0,3.0,5.0,5.0,8.0,1.0,7.0,2.0,8.0,6.0,2.0,2.0,,5.0,4.0,5.0,5.0,2.0,2.0,5.0,8.0,1.0,4.0,1.0,,,,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,1.0,,1.0,1.0,2.0,2.0,1.0,2.0,,,,5.0,1.0,1.0,,3.0,,2.0,2.0,,3.0,1.0,2.0,107.0,105.0,2.0,1.0,1.0,2.0,1.0,4.0,1.0,3.0,1.0,2.0,,2.0,,3.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,,1.0,2.0,1.0,2.0,2.0,23.0,256.0
105,1.0,107.0,106.0,2.0,3.0,6.0,6.0,2.0,4.0,6.0,0.0,4.0,5.0,5.0,8.0,1.0,7.0,2.0,8.0,6.0,2.0,2.0,,3.0,5.0,5.0,5.0,2.0,4.0,13.0,12.0,1.0,4.0,1.0,,,,1.0,1.0,1.0,1.0,3.0,1.0,2.0,4.0,4.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,2.0,,3.0,1.0,1.0,2.0,1.0,2.0,,,,5.0,1.0,1.0,,2.0,,2.0,2.0,,1.0,1.0,2.0,107.0,106.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,,1.0,,4.0,3.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,4.0,,3.0,2.0,2.0,4.0,6.0,11.0,12.0
106,1.0,107.0,107.0,2.0,3.0,8.0,3.0,2.0,3.0,5.0,0.0,3.0,5.0,5.0,8.0,2.0,8.0,1.0,6.0,3.0,2.0,1.0,,3.0,4.0,4.0,4.0,2.0,13.0,5.0,0.0,1.0,4.0,1.0,,,,2.0,2.0,4.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,,3.0,1.0,1.0,2.0,1.0,0.0,,,,9.0,1.0,2.0,,2.0,,2.0,2.0,,3.0,1.0,2.0,107.0,107.0,2.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,,2.0,,4.0,2.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,4.0,,1.0,2.0,2.0,1.0,1.0,46.0,5.0
107,1.0,107.0,108.0,2.0,3.0,8.0,6.0,2.0,6.0,5.0,0.0,3.0,5.0,5.0,8.0,2.0,8.0,2.0,8.0,6.0,2.0,2.0,,3.0,4.0,4.0,4.0,2.0,13.0,14.0,0.0,7.0,3.0,1.0,,,,2.0,2.0,4.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,,3.0,1.0,1.0,2.0,1.0,2.0,,,,3.0,2.0,2.0,,3.0,,2.0,2.0,,3.0,2.0,2.0,107.0,108.0,2.0,1.0,2.0,2.0,2.0,4.0,2.0,3.0,1.0,1.0,,1.0,,4.0,2.0,3.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,,1.0,4.0,3.0,2.0,3.0,42.0,5.0
108,1.0,107.0,109.0,2.0,3.0,7.0,5.0,2.0,4.0,5.0,0.0,2.0,5.0,5.0,8.0,2.0,8.0,2.0,8.0,6.0,2.0,2.0,,1.0,4.0,4.0,4.0,2.0,13.0,5.0,3.0,7.0,4.0,1.0,,,,1.0,2.0,4.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,3.0,0.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,,3.0,2.0,2.0,2.0,2.0,9.0,,,,9.0,2.0,1.0,,1.0,,2.0,2.0,,3.0,2.0,2.0,107.0,109.0,2.0,2.0,3.0,1.0,3.0,4.0,3.0,3.0,1.0,2.0,,2.0,,7.0,3.0,2.0,3.0,3.0,5.0,2.0,1.0,2.0,2.0,2.0,,2.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0,,2.0,7.0,3.0,2.0,2.0,6.0,4.0
109,1.0,107.0,110.0,2.0,3.0,8.0,6.0,2.0,3.0,7.0,5.0,5.0,5.0,5.0,8.0,1.0,7.0,1.0,1.0,0.0,2.0,1.0,,3.0,5.0,5.0,5.0,1.0,13.0,14.0,0.0,7.0,4.0,1.0,,,,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,,3.0,1.0,1.0,2.0,1.0,4.0,,,,3.0,0.0,1.0,,2.0,,4.0,2.0,,1.0,1.0,2.0,107.0,110.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,1.0,1.0,,1.0,,4.0,2.0,1.0,5.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,,1.0,1.0,1.0,1.0,2.0,23.0,82.0
110,1.0,107.0,111.0,2.0,3.0,5.0,6.0,1.0,4.0,5.0,6.0,2.0,5.0,5.0,8.0,1.0,5.0,2.0,8.0,6.0,2.0,2.0,,3.0,1.0,4.0,4.0,2.0,9.0,6.0,4.0,7.0,4.0,1.0,,,,2.0,2.0,1.0,1.0,3.0,1.0,1.0,4.0,4.0,3.0,3.0,1.0,2.0,2.0,3.0,1.0,3.0,3.0,2.0,1.0,2.0,1.0,3.0,2.0,4.0,,2.0,1.0,1.0,2.0,2.0,9.0,,,,9.0,1.0,2.0,,4.0,,2.0,3.0,,5.0,3.0,2.0,107.0,111.0,2.0,3.0,2.0,3.0,1.0,1.0,3.0,1.0,6.0,2.0,,4.0,,4.0,3.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,3.0,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,4.0,,4.0,6.0,3.0,4.0,6.0,23.0,57.0
111,1.0,107.0,112.0,2.0,3.0,8.0,6.0,2.0,3.0,5.0,0.0,0.0,5.0,5.0,8.0,1.0,5.0,2.0,8.0,6.0,2.0,2.0,,3.0,4.0,0.0,4.0,2.0,5.0,14.0,0.0,7.0,4.0,1.0,,,,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,3.0,3.0,,2.0,1.0,1.0,2.0,2.0,9.0,,,,9.0,2.0,3.0,,2.0,,3.0,2.0,,2.0,1.0,2.0,107.0,112.0,2.0,1.0,2.0,2.0,2.0,3.0,0.0,0.0,6.0,2.0,,1.0,,4.0,3.0,2.0,3.0,3.0,2.0,3.0,1.0,1.0,2.0,1.0,,2.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,2.0,,3.0,3.0,4.0,2.0,4.0,23.0,83.0
112,1.0,107.0,113.0,2.0,3.0,7.0,6.0,2.0,3.0,6.0,0.0,5.0,5.0,5.0,8.0,1.0,5.0,2.0,8.0,6.0,2.0,2.0,,3.0,4.0,4.0,5.0,2.0,5.0,14.0,0.0,7.0,4.0,2.0,,,,2.0,1.0,4.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,,1.0,2.0,1.0,2.0,2.0,9.0,,,,9.0,1.0,2.0,,3.0,,4.0,2.0,,3.0,1.0,2.0,107.0,113.0,2.0,1.0,2.0,2.0,1.0,5.0,2.0,0.0,1.0,1.0,,1.0,,4.0,3.0,2.0,2.0,1.0,2.0,5.0,1.0,1.0,3.0,1.0,,2.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,,2.0,3.0,3.0,2.0,5.0,23.0,104.0
113,1.0,107.0,114.0,2.0,3.0,8.0,6.0,2.0,3.0,5.0,6.0,6.0,5.0,5.0,8.0,1.0,5.0,2.0,8.0,0.0,2.0,2.0,,3.0,1.0,1.0,4.0,2.0,0.0,13.0,0.0,7.0,1.0,1.0,,,,0.0,1.0,1.0,1.0,3.0,1.0,1.0,4.0,3.0,3.0,2.0,1.0,2.0,2.0,0.0,1.0,2.0,1.0,0.0,2.0,2.0,1.0,3.0,4.0,4.0,,3.0,1.0,1.0,2.0,2.0,9.0,,,,9.0,1.0,2.0,,3.0,,2.0,2.0,,5.0,1.0,2.0,107.0,114.0,2.0,1.0,1.0,3.0,1.0,5.0,3.0,3.0,1.0,2.0,,1.0,,2.0,3.0,2.0,2.0,2.0,3.0,5.0,1.0,1.0,3.0,1.0,,2.0,2.0,1.0,1.0,1.0,2.0,2.0,4.0,4.0,,2.0,2.0,4.0,4.0,4.0,23.0,85.0
114,1.0,107.0,115.0,2.0,3.0,8.0,5.0,2.0,3.0,6.0,6.0,3.0,5.0,5.0,8.0,2.0,8.0,1.0,6.0,0.0,2.0,1.0,,3.0,4.0,5.0,5.0,2.0,0.0,2.0,8.0,7.0,4.0,1.0,,,,2.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,,3.0,1.0,1.0,2.0,1.0,2.0,,,,4.0,2.0,1.0,,3.0,,2.0,2.0,,1.0,1.0,2.0,107.0,115.0,2.0,1.0,2.0,1.0,3.0,3.0,1.0,2.0,2.0,2.0,,1.0,,4.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,4.0,,1.0,2.0,2.0,3.0,1.0,53.0,28.0
115,1.0,107.0,116.0,2.0,3.0,8.0,6.0,2.0,3.0,7.0,3.0,5.0,5.0,1.0,2.0,1.0,6.0,1.0,2.0,5.0,2.0,2.0,,3.0,3.0,4.0,4.0,2.0,4.0,3.0,10.0,7.0,2.0,1.0,,,,1.0,1.0,4.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,2.0,0.0,,3.0,0.0,0.0,0.0,1.0,3.0,,,,2.0,1.0,1.0,,3.0,,2.0,2.0,,0.0,1.0,2.0,107.0,116.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,0.0,1.0,1.0,,2.0,,2.0,2.0,2.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,2.0,2.0,3.0,6.0,23.0,81.0
116,1.0,107.0,117.0,2.0,3.0,8.0,5.0,2.0,6.0,6.0,1.0,5.0,5.0,5.0,8.0,1.0,2.0,1.0,6.0,3.0,2.0,2.0,,1.0,5.0,5.0,6.0,2.0,4.0,0.0,0.0,6.0,4.0,1.0,,,,1.0,1.0,4.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,5.0,2.0,2.0,3.0,4.0,4.0,,3.0,2.0,2.0,3.0,1.0,3.0,,,,1.0,3.0,1.0,,3.0,,4.0,4.0,,5.0,1.0,2.0,107.0,117.0,2.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,,4.0,,4.0,3.0,2.0,4.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,,1.0,1.0,4.0,3.0,1.0,4.0,8.0
117,1.0,107.0,118.0,2.0,3.0,5.0,6.0,2.0,4.0,6.0,0.0,5.0,5.0,5.0,8.0,1.0,2.0,2.0,8.0,0.0,2.0,2.0,,1.0,2.0,4.0,5.0,2.0,13.0,1.0,5.0,4.0,2.0,1.0,,,,1.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0,3.0,3.0,1.0,2.0,2.0,4.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,,3.0,0.0,2.0,2.0,1.0,2.0,,,,3.0,1.0,1.0,,3.0,,3.0,2.0,,2.0,1.0,2.0,107.0,118.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,0.0,2.0,1.0,,2.0,,2.0,2.0,2.0,2.0,2.0,5.0,2.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,2.0,5.0,4.0,,4.0,4.0,4.0,4.0,3.0,23.0,217.0
118,1.0,107.0,119.0,2.0,3.0,8.0,3.0,2.0,1.0,7.0,1.0,3.0,5.0,5.0,8.0,2.0,8.0,1.0,5.0,3.0,2.0,2.0,,3.0,4.0,4.0,4.0,2.0,13.0,14.0,0.0,3.0,4.0,1.0,,,,2.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,,3.0,1.0,1.0,2.0,1.0,4.0,,,,1.0,2.0,1.0,,3.0,,2.0,3.0,,1.0,1.0,2.0,107.0,119.0,2.0,2.0,2.0,1.0,3.0,4.0,1.0,1.0,1.0,2.0,,0.0,,7.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,4.0,,1.0,3.0,1.0,1.0,1.0,23.0,56.0
119,1.0,107.0,120.0,2.0,2.0,5.0,4.0,2.0,1.0,5.0,4.0,2.0,6.0,1.0,2.0,2.0,8.0,1.0,7.0,3.0,0.0,2.0,,3.0,2.0,5.0,6.0,2.0,13.0,1.0,10.0,2.0,4.0,1.0,,,,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,2.0,5.0,,3.0,0.0,0.0,1.0,1.0,2.0,,,,3.0,2.0,1.0,,3.0,,3.0,2.0,,2.0,1.0,2.0,107.0,120.0,2.0,1.0,1.0,1.0,4.0,4.0,1.0,3.0,1.0,1.0,,4.0,,0.0,3.0,2.0,4.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,,3.0,1.0,2.0,1.0,1.0,23.0,30.0
120,1.0,107.0,121.0,2.0,2.0,5.0,6.0,2.0,2.0,5.0,3.0,6.0,6.0,5.0,8.0,2.0,8.0,1.0,7.0,3.0,2.0,2.0,,4.0,3.0,4.0,6.0,2.0,0.0,14.0,0.0,2.0,3.0,1.0,,,,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,,3.0,1.0,1.0,2.0,1.0,2.0,,,,2.0,2.0,1.0,,3.0,,4.0,2.0,,1.0,1.0,2.0,107.0,121.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,,2.0,,7.0,3.0,2.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,,1.0,3.0,1.0,2.0,3.0,23.0,131.0
121,1.0,107.0,122.0,2.0,2.0,7.0,5.0,2.0,7.0,6.0,5.0,1.0,6.0,5.0,8.0,1.0,4.0,1.0,7.0,0.0,2.0,2.0,,3.0,1.0,3.0,4.0,2.0,10.0,7.0,14.0,2.0,1.0,1.0,,,,2.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,3.0,3.0,,3.0,1.0,1.0,2.0,1.0,3.0,,,,1.0,2.0,1.0,,4.0,,2.0,2.0,,3.0,1.0,2.0,107.0,122.0,2.0,1.0,1.0,1.0,3.0,4.0,2.0,3.0,1.0,2.0,,2.0,,4.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,,3.0,2.0,3.0,3.0,2.0,23.0,13.0
122,1.0,107.0,123.0,2.0,2.0,1.0,5.0,1.0,1.0,4.0,3.0,1.0,6.0,1.0,5.0,1.0,1.0,1.0,2.0,4.0,2.0,2.0,,3.0,3.0,3.0,4.0,2.0,13.0,14.0,0.0,2.0,3.0,1.0,,,,2.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,,4.0,1.0,1.0,2.0,1.0,1.0,,,,3.0,2.0,1.0,,4.0,,3.0,2.0,,2.0,1.0,2.0,107.0,123.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,6.0,1.0,,1.0,,4.0,3.0,3.0,3.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,,2.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,4.0,,2.0,1.0,1.0,2.0,4.0,23.0,52.0
123,1.0,107.0,124.0,2.0,2.0,5.0,6.0,2.0,1.0,4.0,3.0,1.0,6.0,1.0,6.0,2.0,8.0,1.0,2.0,2.0,2.0,1.0,,3.0,2.0,4.0,4.0,2.0,13.0,14.0,0.0,2.0,2.0,2.0,,,,1.0,1.0,2.0,2.0,2.0,1.0,2.0,5.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,4.0,3.0,,3.0,1.0,2.0,2.0,1.0,3.0,,,,1.0,2.0,1.0,,2.0,,4.0,1.0,,2.0,1.0,2.0,107.0,124.0,2.0,1.0,2.0,1.0,3.0,3.0,1.0,3.0,1.0,2.0,,1.0,,4.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,,1.0,2.0,4.0,4.0,2.0,31.0,32.0
124,1.0,107.0,125.0,2.0,2.0,5.0,3.0,2.0,2.0,5.0,5.0,1.0,6.0,5.0,8.0,2.0,8.0,1.0,7.0,3.0,2.0,2.0,,3.0,4.0,4.0,6.0,2.0,4.0,2.0,6.0,2.0,4.0,1.0,,,,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,9.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,2.0,107.0,125.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,,5.0,7.0,4.0,2.0,6.0,23.0,25.0
